feature,importance
rows_in_well,3051
typewell_TVT_std,2610
X,2447
Z,2353
Y,2274
Z_from_start,2273
typewell_rows,2223
typewell_TVT_mean,2153
typewell_GR_mean,2028
typewell_TVT_min,1897
typewell_GR_std,1702
Z_diff1,1473
MD,1470
typewell_TVT_max,1230
Y_from_start,1121
X_from_start,1112
GR_roll15_mean,847
row_frac,768
row_id,737
Y_diff1,712
X_diff1,640
typewell_GR_max,582
typewell_GR_min,544
GR_from_start,314
MD_from_start,167
md_since_last_tvt_input,160
GR_roll5_mean,151
GR_roll15_std,48
GR,42
MD_diff1,29
GR_lag3,26
GR_lag1,11
tvt_input_missing,5
X_missing,0
GR_missing,0
MD_missing,0
Z_missing,0
Y_missing,0
GR_diff1,0
